"gene","3_38_F","3_39_F","3_10_M","3_11_M","3_8_M","3_9_M","18_46_F","18_47_F","18_45_M","18_53_M","24_58_M","24_59_M","24_60_M","24_61_M"
"0610005C13Rik",0,0,0,0,0,0,21,14,0,0,0,0,0,0
"0610007C21Rik",17106,9174,5660,6030,14281,1348,20122,10663,46765,19851,64470,134028,24968,18653
"0610007L01Rik",3274,2584,1241,572,4971,696,4657,4281,7184,1931,3036,2454,2647,2308
"0610007N19Rik",2079,1049,701,951,2155,288,520,1622,2027,2356,8384,1516,447,3512
"0610007P08Rik",545,50,449,368,1099,74,919,684,1205,25,0,178,0,15
"0610007P14Rik",1336,1445,479,699,1290,303,1153,2678,2838,1357,3978,1235,480,360
"0610007P22Rik",332,217,501,0,557,30,3643,33,2322,721,2483,8011,3731,1604
"0610008F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B14Rik",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"0610009B22Rik",530,354,270,101,479,55,582,491,1182,217,4312,342,96,66
"0610009D07Rik",4160,4130,2168,1202,4510,530,6189,3176,8389,3120,10576,7806,4025,4424
"0610009L18Rik",329,0,0,0,69,0,0,39,0,7,287,107,224,331
"0610009O20Rik",481,276,409,471,1782,100,980,355,547,93,242,34635,357,720
"0610010B08Rik",0,0,0,1,2,0,0,0,0,1,1,0,0,0
"0610010F05Rik",1670,268,932,200,1132,404,432,644,1,47,776,581,288,1857
"0610010K14Rik",2789,2019,674,746,2588,138,4050,2187,4099,1615,10179,6423,3440,1489
"0610010O12Rik",1255,977,359,737,491,77,3465,2103,13753,1302,9095,5718,3479,3416
"0610011F06Rik",2134,1070,288,453,1159,35,2488,2009,4991,2618,11117,1926,1509,1874
"0610011L14Rik",1594,923,738,531,2036,261,679,1092,198,217,649,11,472,2426
"0610012G03Rik",1705,1226,344,694,1396,194,1825,943,3345,5550,4742,904,1656,1453
"0610012H03Rik",0,0,0,0,0,0,478,136,0,0,0,0,0,0
"0610030E20Rik",447,1269,562,434,2220,235,772,892,1360,6933,1279,923,708,542
"0610031J06Rik",13604,4888,4049,2039,10393,673,10128,7816,7581,16844,17859,10661,8817,12678
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",4149,1474,1178,655,2384,480,4514,4006,4190,12542,13310,3127,2985,5144
"0610037P05Rik",3212,1720,1040,263,2002,213,7328,3164,2149,4284,2222,66409,2856,2776
"0610038B21Rik",26,21,76,25,438,20,98,83,318,57,283,39,10,15
"0610038L08Rik",0,2,0,0,0,0,0,0,0,0,26,0,0,0
"0610039K10Rik",0,1,0,0,141,2,1,3,0,0,0,6,0,0
"0610040B10Rik",0,10,0,0,34,0,2,2,0,52,0,0,0,34
"0610040F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040J01Rik",4,0,0,0,0,1,7,0,1,0,202,0,0,999
"0610043K17Rik",51,13,0,106,75,7,113,75,583,10,576,0,925,202
"0910001L09Rik",1161,377,416,335,1050,102,2289,1443,11958,2463,5061,2787,1073,607
"100043387",295,805,49,0,528,9,745,186,348,378,686,236,969,280
"1100001G20Rik",0,0,1,0,2,0,9,110,2,55,0,0,10,0
"1110001A16Rik",255,174,87,0,405,87,605,538,2104,793,1282,1010,209,381
"1110001J03Rik",1595,938,305,579,1084,100,1507,1480,6853,3567,5532,3648,164,687
"1110002B05Rik",9589,3079,2815,1537,6322,605,8232,8091,3807,4671,6785,5907,8939,11293
"1110002L01Rik",2,0,0,0,0,0,1,0,0,0,0,0,0,0
"1110002N22Rik",546,0,0,0,134,0,358,44,494,0,2376,0,111,0
"1110003E01Rik",26577,17392,7016,6323,21103,2516,41621,24364,81859,28859,110433,45142,35835,33053
"1110004E09Rik",908,838,398,140,280,251,1215,767,3310,779,1700,290,420,2088
"1110004F10Rik",6955,3953,3005,1901,4390,371,14455,7018,6655,7392,11120,8608,9585,11163
"1110005A03Rik",2728,343,953,204,4106,337,1653,1804,7899,2544,5185,9286,684,1907
"1110006O24Rik",105,0,22,0,71,0,0,6,546,0,0,0,0,0
"1110007C09Rik",2380,1149,813,499,2281,312,4395,2705,17275,9012,12225,3110,2946,4276
"1110008F13Rik",3312,2297,930,423,3177,459,4717,3961,4911,10898,11906,3093,3546,2572
"1110008J03Rik",698,317,408,0,490,34,1066,293,487,40,0,31,1130,310
"1110008L16Rik",91,48,96,1,21,1,2,56,0,14,0,0,0,23
"1110008P14Rik",590,188,341,388,815,272,1416,877,4453,4469,1408,1611,370,576
"1110012J17Rik",154,114,0,165,423,7,414,1101,7,2005,353,0,6,0
"1110012L19Rik",1055,593,253,0,896,61,743,325,5785,582,1624,724,675,335
"1110014N23Rik",815,3020,1331,53,1630,552,883,2008,2712,2191,4071,4195,512,399
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",81,0,0,0,2,0,0,0,0,0,0,0,0,0
"1110017F19Rik",0,0,7,0,44,0,0,13,0,0,77,0,0,0
"1110018G07Rik",87,225,150,7,994,0,46,712,0,22,72,579,137,39
"1110018J18Rik",1369,1004,516,536,2712,275,2147,1583,3068,645,913,593,685,1061
"1110019D14Rik",275,0,0,0,12,0,159,43,180,66,941,0,0,0
"1110020A21Rik",0,0,16,0,0,0,0,183,0,0,0,58,0,0
"1110020G09Rik",221,2,53,20,1048,67,587,2,7,142,18,0,40,153
"1110021J02Rik",676,366,173,5,508,43,68,240,0,237,0,802,0,868
"1110021L09Rik",53,164,68,0,452,13,110,109,3,38,0,14,50,195
"1110028C15Rik",491,184,25,91,2103,0,33,852,106,240,2,26,498,802
"1110028F11Rik",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110031I02Rik",232,772,311,0,900,99,953,358,0,331,3039,5410,401,1132
"1110032A03Rik",1191,830,179,333,421,16,141,1178,1384,1065,2791,198,1736,600
"1110032A04Rik",3,1,1,0,0,0,0,0,0,0,1425,0,24,0
"1110032F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110034A24Rik",622,482,413,328,506,0,127,572,845,548,2144,1011,776,811
"1110034B05Rik",655,214,1,0,308,66,465,580,0,422,1086,340,0,1581
"1110034G24Rik",183,65,87,512,229,0,323,1041,0,172,1397,107,5,668
"1110035M17Rik",0,0,19,0,0,0,0,0,0,831,0,0,0,68
"1110036E04Rik",0,0,0,0,9,0,0,0,0,0,0,388,0,0
"1110037F02Rik",446,737,203,1,2605,77,409,174,351,167,1134,2185,15,1161
"1110038B12Rik",2232,1424,1415,187,2976,246,1958,2733,3541,1398,2689,2258,2277,1574
"1110038D17Rik",571,38,64,0,830,171,228,1160,0,24,0,0,0,3
"1110038F14Rik",668,210,924,35,568,136,3282,1552,2342,5663,6015,1849,1761,1247
"1110046J04Rik",157,507,175,975,198,0,239,467,0,1,942,360,730,386
"1110049F12Rik",2743,1566,524,631,1247,194,5083,898,3957,3910,2614,10486,2726,1220
"1110050K14Rik",0,0,0,0,0,0,17,16,20,49,0,0,0,0
"1110051M20Rik",1758,1149,1178,647,2855,206,2281,5094,1535,406,1138,4262,2413,8597
"1110054M08Rik",144,58,19,0,97,3,243,27,940,1133,161,79,86,130
"1110054O05Rik",287,82,271,0,407,1,45,1084,1132,588,325,0,739,0
"1110057K04Rik",1766,774,126,376,3027,429,1259,1536,2257,829,4316,915,2235,3415
"1110058L19Rik",673,219,504,167,727,16,875,386,2519,7522,5713,1728,514,741
"1110059E24Rik",2148,1380,852,1110,1582,309,2700,1162,1858,441,1122,66,443,4948
"1110059G10Rik",530,108,86,142,227,53,1213,364,5014,15,2322,34,457,154
"1110059M19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110065P20Rik",576,425,216,208,364,51,1295,418,1130,826,2088,232,712,1049
"1110067D22Rik",72,138,339,2,2200,91,1499,964,0,85,130,0,914,679
"1190002F15Rik",53,13,35,0,38,0,2,7,117,0,900,0,10,10
"1190002H23Rik",13246,6278,1558,575,6922,819,12322,5377,21563,5578,29273,11668,20333,14941
"1190002N15Rik",629,880,518,1005,3345,76,767,1702,614,213,1580,486,204,195
"1190003J15Rik",2,0,7,0,3,4,0,2,15,0,184,0,26,2
"1190003K10Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1190005F20Rik",208,83,277,658,660,137,810,592,3986,221,116,161,195,305
"1190005I06Rik",0,0,0,0,1,16,0,0,0,67,0,26,0,0
"1190007F08Rik",786,408,434,152,857,152,291,309,265,571,2115,19990,191,580
"1190007I07Rik",167,76,35,130,84,35,247,137,0,0,1643,116,109,0
"1200009I06Rik",603,469,76,1429,587,168,1633,321,688,5509,3109,276,534,1153
"1200011I18Rik",907,894,712,283,1612,107,628,39,1,3339,2475,445,235,585
"1200011M11Rik",221,247,242,60,734,32,190,612,488,7,5,0,4,56
"1200014J11Rik",345,510,248,258,684,15,1101,333,1454,85,697,421,18,6
"1200016B10Rik",1201,704,141,534,1578,219,1090,1182,3439,1371,690,212,1135,806
"1300001I01Rik",204,406,561,2,1052,1,832,1829,1277,1605,15,93,2289,1755
"1300002E11Rik",681,550,495,886,775,25,297,1311,981,3583,8454,1535,1035,893
"1300002K09Rik",0,0,0,0,0,0,13,0,0,17,0,0,0,0
"1300010F03Rik",319,993,243,1,1294,10,630,317,1106,1624,2437,3611,1097,285
"1300014I06Rik",11207,7836,2110,1094,12352,1443,8966,4972,3878,5333,5195,1182,8637,9413
"1300015D01Rik",0,0,0,0,146,0,0,0,0,0,0,0,0,0
"1300017J02Rik",111,0,0,0,83,0,19,0,0,96,0,0,4,0
"1300018I17Rik",68,0,324,27,154,44,915,289,12,395,179,1074,0,0
"1300018J18Rik",1405,869,472,744,1475,240,1905,1954,59,1532,983,24,1998,1836
"1500001M20Rik",1089,259,153,794,634,128,941,518,1368,2113,2344,1726,1453,2161
"1500002O10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500002O20Rik",914,267,17,0,570,85,1182,837,34,683,257,94,559,1537
"1500003O03Rik",6440,7115,4949,4081,13650,1414,3912,12336,2264,2390,2434,2193,5266,2117
"1500004A13Rik",75,0,26,0,0,0,6,70,0,981,0,0,0,0
"1500009C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",1372,56,451,442,1689,111,1343,723,6946,1357,2205,1875,2332,1632
"1500010J02Rik",671,2,17,1,227,75,235,457,0,14,31,75,0,247
"1500011B03Rik",21,65,69,50,95,16,303,22,744,227,1,2,1878,426
"1500011H22Rik",2618,2702,411,488,1794,274,1626,1628,774,5383,1177,181,2195,3010
"1500011K16Rik",509,221,177,205,527,34,487,433,610,769,1303,161,338,331
"1500012F01Rik",997,713,450,227,1515,128,681,1025,2468,592,4770,896,601,891
"1500012K07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015A07Rik",1,0,0,0,5,0,175,0,0,0,177,0,7,383
"1500015L24Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1500015O10Rik",1043,257,1281,0,5810,132,1784,3237,30059,989,11402,7451,500,5093
"1500016L03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500017E21Rik",182,0,10,0,0,0,0,0,0,0,0,0,0,0
"1500031L02Rik",104,327,13,0,570,0,1945,313,12,2,298,0,200,0
"1500032L24Rik",3717,3964,1007,726,3639,554,6092,5601,13421,22614,16233,28619,3155,3097
"1520402A15Rik",0,0,15,0,0,50,139,127,0,0,0,0,1011,372
"1600002D24Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1600002H07Rik",2,0,179,0,1,0,143,575,0,142,0,0,0,365
"1600002K03Rik",274,0,349,0,689,173,892,335,2329,159,674,903,93,806
"1600010M07Rik",25,0,0,0,0,0,0,1,5,0,0,0,0,0
"1600012F09Rik",1649,871,789,488,1507,10,1604,849,2240,2922,1823,167,1654,1588
"1600012H06Rik",1118,341,1019,791,2065,772,792,870,1749,432,1206,166,1476,2364
"1600014C10Rik",690,151,18,6,484,357,41,1581,0,434,13,1131,1435,344
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600014K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600016N20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",391,992,59,0,392,29,168,355,1013,2,481,188,1633,88
"1600021P15Rik",56,18,204,0,234,31,64,33,0,144,0,0,0,15
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600027N09Rik",228,190,5,63,224,56,275,734,216,38,0,664,20,1376
"1600029D21Rik",174,15,43,0,18,1,191,16,0,0,1587,0,0,0
"1600029I14Rik",0,9,0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",191,105,0,0,25,0,145,98,0,0,0,87,628,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001D01Rik",0,79,0,490,0,0,3,6,0,1,0,1,0,0
"1700001F09Rik",0,0,0,0,7,0,0,0,0,0,39,0,0,0
"1700001G11Rik",0,0,3,0,9,0,100,0,0,0,0,0,0,0
"1700001G17Rik",0,0,151,0,38,0,372,4,0,78,0,0,0,0
"1700001J03Rik",0,0,0,0,0,0,0,0,0,0,804,0,0,0
"1700001J11Rik",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",134,1,0,249,251,16,8,0,0,69,0,0,49,318
"1700001K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001L05Rik",0,10,0,0,288,0,0,0,0,0,0,24,0,0
"1700001L19Rik",0,0,0,0,0,0,102,0,0,0,0,0,0,0
"1700001O22Rik",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1700001P01Rik",0,0,88,0,471,0,115,79,0,8,44,0,0,321
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",1,0,0,0,21,0,195,6,0,0,0,0,0,0
"1700003F12Rik",0,0,0,96,67,0,522,0,0,0,0,31,0,87
"1700003F17Rik",12,0,0,0,0,0,0,10,0,0,0,0,0,0
"1700003G13Rik",0,0,10,0,0,0,0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,7,0,0,0
"1700003M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,34,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,2,0,0,0,0,0,0,0,0,194,0,0,0
"1700007F19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0,0,786,0,0,0
"1700007I08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007J10Rik",0,0,0,0,1,29,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,53,0,0,1,0,0,0,115,0,0,0,0
"1700007L15Rik",89,0,0,0,79,0,2,98,0,0,555,0,0,86
"1700007P06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008F21Rik",0,0,0,0,0,0,0,0,3,0,0,25,0,0
"1700008I05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008J07Rik",236,0,62,1,204,47,104,245,0,1,0,0,435,98
"1700008K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,0,0,0,0,0,26,0,0,0,612,2,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008P20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009P17Rik",0,24,0,0,18,0,253,472,0,17,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,48,0,145,0,0,5,0,0,0,0,0,0
"1700010J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010M22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011E24Rik",0,52,2,0,37,0,92,85,0,25,105,0,0,0
"1700011F03Rik",0,0,25,0,0,0,0,0,0,0,0,0,0,0
"1700011F14Rik",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,37,0,0,0,0,0,0,0,0,0,0,0,0
"1700011J10Rik",785,85,58,111,239,9,290,126,190,177,2596,1101,99,280
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A16Rik",0,0,3,0,75,91,0,4,8,46,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B15Rik",62,483,45,0,147,98,192,338,2504,40,1697,647,1483,303
"1700012D01Rik",0,7,1,121,256,0,0,0,5,0,0,669,0,44
"1700012D14Rik",16,0,0,23,83,0,0,34,0,0,469,0,0,140
"1700012I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,22,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,173,0,0,2,0,0,0,0,0,0,0,27
"1700013G23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,318,0,0,0,0,0,0,0,0,0,0,0,0
"1700013N18Rik",0,0,0,0,141,0,0,0,0,0,0,0,0,0
"1700014N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,238,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",7,179,112,0,53,0,5,0,506,0,211,0,1,0
"1700016D06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016G22Rik",1,0,0,0,7,0,0,0,0,0,0,0,0,0
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016M24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700016P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",114,551,757,174,3693,15,933,1477,3293,1,171,215,842,1404
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018L02Rik",10,17,11,9,81,6,140,23,0,64,0,1,0,0
"1700018L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019B03Rik",0,0,0,0,44,0,0,0,0,0,0,0,0,0
"1700019B21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",2368,2955,937,226,2174,103,4640,3438,10253,26457,15717,1993,5361,1904
"1700019E08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019E19Rik",1843,1875,261,1107,2272,279,2468,2303,9453,13005,7820,2271,1867,1126
"1700019G17Rik",311,0,0,0,0,0,0,2,0,0,45,0,0,0
"1700019G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019L03Rik",0,28,141,0,54,0,122,0,0,0,0,0,678,809
"1700019M22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0,0,36,0,0,0
"1700020D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020I14Rik",2029,1223,225,329,2135,457,325,1062,834,1053,3012,1316,2070,1254
"1700020L24Rik",0,0,13,0,0,0,1,22,0,0,0,0,0,0
"1700020M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020O03Rik",619,115,166,0,1183,5,71,248,863,144,0,2,0,0
"1700021C14Rik",156,125,24,0,26,19,99,41,180,55,145,127,34,0
"1700021F05Rik",824,120,310,208,516,331,660,906,429,646,4086,1688,1110,688
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021K19Rik",64,135,0,167,2283,8,1046,700,42,11,5,360,0,686
"1700021N21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0,19,0,0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,47,0,0,149,0,0,482,0,0,0,0,35,15
"1700022P22Rik",0,9,0,0,26,0,0,0,0,0,0,0,0,0
"1700023A16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023C21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023E05Rik",0,0,0,13,0,0,0,0,0,0,0,0,0,33
"1700023F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023F06Rik",0,0,0,0,2,0,69,37,63,2,0,0,0,0
"1700023L04Rik",188,51,0,0,0,0,221,0,0,0,0,0,8,0
"1700024B18Rik",52,19,20,0,14,1,50,23,0,0,0,0,0,146
"1700024F13Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P03Rik",0,0,0,0,0,0,0,0,0,0,0,12,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P16Rik",0,13,99,236,458,24,0,0,0,0,0,0,745,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025E21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",2179,908,638,249,1646,200,3144,927,1413,2856,477,53,1918,2278
"1700025K23Rik",88,0,258,0,126,15,132,226,304,613,161,4956,282,0
"1700025K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"1700025N23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026D08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026D11Rik",0,0,0,0,32,0,0,0,0,0,0,0,0,0
"1700026F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026J04Rik",0,0,0,0,0,0,0,361,0,0,0,0,0,0
"1700026L06Rik",0,0,26,0,0,0,0,0,0,0,0,0,0,0
"1700027A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027D21Rik",0,0,0,0,3,0,275,0,0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028E10Rik",38,0,266,0,13,1,4,9,0,0,0,7,0,22
"1700028I16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028J19Rik",0,0,0,0,99,59,30,222,0,0,0,0,0,712
"1700028K03Rik",0,0,0,1,0,0,4,0,0,0,0,0,0,12
"1700028M03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029F09Rik",2544,3341,311,862,1918,70,3401,4357,4875,1260,8535,4478,6270,4220
"1700029F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029G01Rik",208,15,206,0,356,232,1,333,14,143,772,0,0,1598
"1700029H14Rik",162,29,0,146,266,11,7,140,0,0,0,0,0,648
"1700029I01Rik",2,0,42,0,0,0,0,0,0,0,0,4,0,0
"1700029I15Rik",0,0,0,0,9,0,28,0,0,0,0,0,0,0
